title,Award Number,year,creator
"IN VITRO TESTING RESOURCES FOR AIDS THERAPEUTICS DEVELOPMENT, PART A",272200700041C-2-0-0,2007,"ROGER, PTAK;"
Resources For AIDS Ther.Dev. - Part A: Conf. Vitro Evaluations,272200700041C-2-0-1,2007,
Resources For AIDS Ther.Dev. - Part A: Conf. Vitro Evaluations,272200700041C-2-0-1,2008,
Resources For AIDS Ther.Dev. - Part A: Conf. Vitro Evaluations,272200700041C-3-0-1,2009,"PTAK, ROGER;"
Resources For AIDS Ther.Dev. - Part A: Conf. Vitro Evaluations,272200700041C-4-0-1,2010,"PTAK, ROGER;"
Resources For AIDS Ther.&Dev. : Conf. In Vitro Evaluations HIV Ther.,272200700041C-5-0-1,2011,"PTAK, ROGER;"
In Vitro Testing Resources for AIDS Therapeutics Dev: Specialized Assays,272200700042C-11-0-1,2011,"HEIL, MARINTHA;"
"IN VITRO TESTING RESOURCES FOR AIDS THERAPEUTICS DEVELOPMENT, PART B",272200700042C-3-0-0,2007,"BRIGITTE, SANDERS;"
Award of Part B - In Vitro Testing Resources for AIDS Therapeutics Development,272200700042C-3-0-1,2007,
Award of Part B - In Vitro Testing Resources for AIDS Therapeutics Development,272200700042C-3-0-1,2008,
Award of Part B - In Vitro Testing Resources for AIDS Therapeutics Development,272200700042C-6-0-1,2009,"PTAK, ROGER;"
Award of Part B - In Vitro Testing Resources for AIDS Therapeutics Development,272200700042C-9-0-1,2010,"HEIL, MARINTHA;"
Safety Evaluation of Anti-Infective Agents,272200700043C-2-0-1,2008,
Safety Evaluation of Anti-Infective Agents,272200700043C-3-0-1,2010,"MIRSALIS, JON;"
Safety Evaluation of Anti-Infective Agents,272200700043C-4-0-1,2011,"MIRSALIS, JON;"
Immunology Quality Assessment Program,272200700054C-6-0-1,2011,"SYKES, MOLLIE;"
GLOBAL HIV VACCINE ENTERPRISE,272200700056C-0-0-0,2007,"JOSE, ESPARZA;"
Global HIV AIDS Vaccine Enterprise Secretariat,272200700056C-0-0-1,2007,
GLOBAL HIV VACCINE ENTERPRISE,272200700056C-2-0-1,2009,"BERNSTEIN, ALAN;"
GLOBAL HIV VACCINE ENTERPRISE,272200700056C-3-0-1,2010,"BERNSTEIN, ALAN;"
GLOBAL HIV VACCINE ENTERPRISE,272200700056C-4-0-1,2011,"BERNSTEIN, ALAN;"
NIAID Specimen Repository,272200700060C-11-0-1,2011,"WADDINGTON, MICHAEL;"
NIAID Specimen Repository,272200700060C-3-0-1,2008,
NIAID Specimen Repository,272200700060C-9-0-1,2010,"MANAK, MARK;"
Synthesis of Therapeutic Agents for Treatment of Infectious Diseases,272200800011C-0-0-1,2008,
Synthesis of Therapeutic Agents for Treatment of Infectious Diseases,272200800011C-2-0-1,2010,"POWELL, WALTER;"
Synthesis of Therapeutic Agents for Treatment of Infectious Diseases,272200800011C-3-0-1,2011,"POWELL, WALTER;"
NIAID HIV/AIDS Scientific and Operations SupportThe purpose of this contract,272200800014C-2-0-1,2008,
NIAID HIV/AIDS Scientific and Operations Support,272200800014C-5-0-1,2010,"VERNON, RICHMOND;"
NIAID HIV/AIDS Scientific and Operations Support,272200800014C-8-0-1,2011,"O'CALLAHAN, MARK;"
CLINICAL PHARMACOLOGY QUALITY ASSURANCE AND QUALITY CONTROL,272200800019C-2-0-1,2009,"MORSE, GENE;"
CLINICAL PHARMACOLOGY QUALITY ASSURANCE AND QUALITY CONTROL,272200800019C-4-0-1,2010,"MORSE, GENE D;"
CLINICAL PHARMACOLOGY QUALITY ASSURANCE AND QUALITY CONTROL,272200800019C-5-0-1,2011,"MORSE, GENE;"
Non-Human Primate Models to Evaluate Therapeutic Strategies and Topical Microbici,272200800020C-0-0-1,2008,
Non-Human Primate Models to Evaluate Therapeutic Strategies and Topical Microbici,272200800020C-1-0-1,2010,"COALE, WILLIAM;"
Non-Human Primate Models to Evaluate Therapeutic Strats and Topical Microbicides,272200800020C-5-0-1,2011,"COALE, WILLIAM;"
Phase I Clinical Trial Unit for Therapeutics,272200800024C-1-0-1,2008,
Phase I Clinical Trial Unit for Therapeutics,272200800024C-1-0-2,2008,
